OBJECTID,survey,code,decapoda,lon,lat
1,Survey1,MU01,29.09,-17.81325,20.77416667
2,Survey1,MU02,22.29,-17.86308333,20.6835
3,Survey1,MU03,16.90,-18.04025,20.81758333
4,Survey1,MU04,11.11,-18.54883333,20.5545
5,Survey1,MU05,14.74,-18.43266667,20.59866667
6,Survey1,MU06,16.01,-18.20933333,20.62408333
7,Survey1,MU07,27.31,-18.30658333,20.74916667
8,Survey1,MU08,41.17,-18.24041667,20.679
9,Survey1,MU09,68.08,-18.10941667,20.75683333
10,Survey1,MU10,2.03,-18.21466667,20.30425
11,Survey1,MU11,118.30,-18.10483333,20.404
12,Survey1,MU12,5.59,-18.09675,20.3225
13,Survey1,MU13,301.94,-17.98033333,20.44266667
14,Survey1,MU14,12.92,-17.85075,20.62758333
15,Survey1,MU15,95.67,-17.84866667,20.43125
16,Survey1,MU17,24.89,-17.732,21.1815
17,Survey1,MU18,98.73,-17.63783333,20.25525
18,Survey1,MU19,12.71,-17.77041667,20.05958333
19,Survey1,MU20,0.69,-17.882,19.92566667
20,Survey1,MU21,3.01,-17.75675,19.86875
21,Survey1,MU22,28.97,-17.51733333,19.54825
22,Survey1,MU23,121.17,-17.41016667,19.84575
23,Survey1,MU24,30.30,-17.42,19.79725
24,Survey1,MU25,59.22,-17.49875,20.23058333
25,Survey1,MU26,84.12,-17.22641667,19.67216667
26,Survey1,MU27,45.04,-17.28583333,19.64933333
27,Survey1,MU28,6.57,-17.33341667,19.40808333
28,Survey1,MU29,58.26,-17.19183333,19.36525
29,Survey1,MU30,29.27,-17.28633333,19.32491667
30,Survey1,MU31,77.07,-17.54566667,19.40183333
31,Survey1,MU32,36.97,-17.34858333,19.22808333
32,Survey1,MU33,40.54,-17.4765,19.24416667
33,Survey1,MU34,93.54,-16.99416667,19.17766667
34,Survey1,MU35,105.72,-17.13408333,19.12283333
35,Survey1,MU36,406.67,-17.05766667,19.02391667
36,Survey1,MU37,30.51,-16.846,19.01258333
37,Survey1,MU38,47.62,-16.94525,18.95216667
38,Survey1,MU39,30.84,-17.03116667,18.87866667
39,Survey1,MU40,11.21,-17.14516667,18.94225
40,Survey1,MU41,25.04,-17.11658333,18.78841667
41,Survey1,MU42,47.10,-16.88808333,18.522
42,Survey1,MU43,33.90,-16.90916667,18.38416667
43,Survey1,MU44,21.79,-16.73575,18.53641667
44,Survey1,MU45,37.63,-16.79625,18.75725
45,Survey1,MU46,37.82,-16.80016667,18.52866667
46,Survey1,MU47,98.03,-16.81866667,18.43391667
47,Survey1,MU48,23.01,-16.80325,18.05608333
48,Survey1,MU49,8.06,-16.58175,18.1655
49,Survey1,MU50,328.02,-16.82116667,17.85541667
50,Survey1,MU51,9.60,-16.65833333,17.8115
51,Survey1,MU52,13.27,-16.76375,17.7895
52,Survey1,MU53,86.86,-16.80966667,17.77508333
53,Survey1,MU54,197.85,-16.65175,17.63975
54,Survey1,MU55,23.85,-16.89191667,17.43808333
55,Survey1,MU56,46.60,-16.91858333,17.34158333
56,Survey1,MU57,194.70,-16.79341667,17.20516667
57,Survey1,MU58,28.60,-17.11708333,16.7815
58,Survey1,MU59,5.23,-16.9865,16.81875
59,Survey1,MU60,24.57,-17.11641667,16.51933333
60,Survey1,MU61,10.15,-17.12466667,16.14933333
61,Survey1,MU62,47.11,-17.057,16.18066667
62,Survey1,MU63,48.05,-16.91816667,16.33483333
63,Survey1,MU64,346.94,-16.85633333,16.41558333
64,Survey1,MU65,77.01,-16.6595,16.41916667
65,Survey1,MU66,11.65,-17.00525,16.41175
66,Survey1,MU67,96.89,-17.06741667,16.54433333
67,Survey1,MU68,56.00,-16.99641667,16.66233333
68,Survey1,MU69,20.12,-17.09733333,16.86175
69,Survey1,MU70,111.96,-16.81283333,16.94633333
